"contact_[0,10)","contact_[10,20)","contact_[20,30)","contact_[30,40)","contact_[40,50)","contact_[50,60)","contact_[60,70)","contact_[70,80)","contact_[80,90)","contact_90+"
5.17700167528368,0.290190337809486,0.160337111149573,0.248388691185326,0.206342709672319,0.0812265707249139,0.0107207711317523,0.0016811019264783,0,0
0.283169816384659,5.72374103102519,0.246109172623926,0.18828854359929,0.212755534983943,0.0991119953237876,0.00738588318675022,0.00321537136832557,0,0
0.144342513542704,0.22705130295043,0.698157798963627,0.0510691703388149,0.0267482198146854,0.021130956124241,0,0,0,0
0.211069331733715,0.163965773111823,0.0482049802483813,0.0464626726029198,0.0434420984658163,0.0333762774846369,0.00198656526055395,0,0,0
0.158788105602831,0.167782126466742,0.0228645949621203,0.039341083587953,0.0514876454455289,0.0162961908626366,0.00941420034615492,0.0062121579652299,0,0
0.0684769637077602,0.0856265774484755,0.0197881555717168,0.033112422772179,0.0178526890804923,0.019379511463816,0.00592800074410632,0,0,0
0.0118757535731673,0.00838443063280414,0,0.00258967147477133,0.0135515743069047,0.00778927478627205,0,0,0,0
0.0023888500582762,0.00468232952348421,0,0,0.0114711906505092,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
