"contact_[0,10)","contact_[10,20)","contact_[20,30)","contact_[30,40)","contact_[40,50)","contact_[50,60)","contact_[60,70)","contact_[70,80)","contact_[80,90)","contact_90+"
0,0.0515774723310303,0.176936184547138,0.133136424949807,0.0777214024430422,0.0406357127753112,0.0232665305921011,0,0,0
0.0503296680372287,1.7122470309736,0.434973118987684,0.274017054575239,0.158303054223171,0.108602142625193,0.0408735851040229,0.0163476609077153,0.00436616667306493,0.0349293333845194
0.159285728868875,0.401290258146864,1.94448079795669,0.773256669499674,0.3616864459474,0.344051100178755,0.0830584348455234,0.00994353143842643,0.0238352692804327,0.00203191611999168
0.113133235291317,0.2386200314708,0.729888937550065,1.03914006660116,0.62692510364812,0.357738169888403,0.109899738296913,0.0247664380674799,0.00486989328649258,0
0.0598094029022121,0.124840103763919,0.309172503709416,0.567742208066083,0.702836387073177,0.496687324101697,0.129282051208676,0.0867238524062778,0.0323203652793872,0.00196816473922094
0.0342573889814662,0.09382547234759,0.32218782032051,0.35491008631933,0.544127424755422,0.696375465474241,0.236825706892772,0.0574419539783255,0.0381811857993042,0.00133512568664455
0.0257731072157667,0.0463995612107,0.102201833300179,0.143264469083179,0.186099218105019,0.311184257065917,0.0408057678304923,0,0,0
0,0.0238060014038021,0.0156955047692936,0.0414157070136493,0.160141749528454,0.096822807839672,0,0,0,0
0,0.0112391079920927,0.0665051685594772,0.014395331607162,0.105497694132865,0.113762356665446,0,0,0,0
0,0.704462562718644,0.0444198613553542,0,0.0503343240716936,0.0311678902926992,0,0,0,0
